,player_code,first_name,web_name,second_name,player_name,position_id,position,team,round,value,selected,fixture,round_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,xbonus,expected_fpl_points,fpl_points_over_expected
7992,285,Trent,Alexander-Arnold,Alexander-Arnold,Trent Alexander-Arnold,2,DEF,Liverpool,4,7500000,4514639,BOU (H),17,82,1,1,1,0,0,0,0,0,0,0,2,80.0,1,0.04,0.25,0.33,0,6.99,-10.01
13048,465,Jarrod,Bowen,Bowen,Jarrod Bowen,3,MID,West Ham,21,8000000,252169,EVE (H),16,90,2,0,1,0,0,0,0,0,0,0,3,90.0,0,1.52,0.24,0.67,3,13.32,-2.68
180,7,Martin,Ødegaard,Ødegaard,Martin Ødegaard,3,MID,Arsenal,16,6400000,1377105,WOL (A),16,90,2,0,1,0,0,0,0,0,0,0,3,90.0,0,1.48,0.03,0.68,3,12.49,-3.51
169,7,Martin,Ødegaard,Ødegaard,Martin Ødegaard,3,MID,Arsenal,3,6400000,1025266,BOU (A),16,73,2,0,1,0,0,0,0,0,0,0,3,70.0,1,0.64,0.05,0.12,1,7.35,-8.65
11953,427,Harry,Kane,Kane,Harry Kane,4,FWD,Spurs,19,11600000,3068339,CRY (A),16,90,2,1,1,0,0,0,0,0,0,0,3,90.0,0,0.41,0.29,0.79,2,6.51,-9.49
15027,535,Marcus,Tavernier,Tavernier,Marcus Tavernier,3,MID,Bournemouth,15,4900000,11814,LEE (A),16,90,1,2,0,4,0,0,0,0,0,0,3,90.0,0,0.24,0.23,2.16,0,3.89,-12.11
355,13,Bukayo,Saka,Saka,Bukayo Saka,3,MID,Arsenal,23,8300000,6850918,BRE (H) / MCI (H),15,180,1,1,0,4,0,0,0,0,0,0,3,180.0,0,1.14,0.56,4.08,4,15.38,0.38
343,13,Bukayo,Saka,Saka,Bukayo Saka,3,MID,Arsenal,10,7800000,1146083,LIV (H),15,90,2,0,0,2,0,0,0,0,0,0,3,90.0,0,2.04,0.02,1.01,3,15.26,0.26
431,16,Gabriel,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,2,DEF,Arsenal,15,5100000,1113779,CHE (A),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.78,0.01,0.29,3,13.71,-1.29
6296,225,Rodrigo,Rodrigo,Moreno,Rodrigo Moreno,3,MID,Leeds,2,6000000,156860,SOU (A),15,90,2,0,0,2,0,0,0,0,0,0,3,90.0,0,1.3,0.25,1.22,3,12.25,-2.75
8507,304,Raheem,Sterling,Sterling,Raheem Sterling,3,MID,Chelsea,4,9900000,473197,LEI (H),15,74,2,0,0,1,0,0,0,0,0,0,3,70.0,0,1.17,0.23,1.39,3,11.54,-3.46
12480,445,Emerson,Emerson Royal,Leite de Souza Junior,Emerson Leite de Souza Junior,2,DEF,Spurs,24,4900000,199969,WHU (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.33,0.17,0.48,3,11.49,-3.51
13251,472,Nayef,Aguerd,Aguerd,Nayef Aguerd,2,DEF,West Ham,29,4800000,50840,SOU (H) / NEW (H),15,180,1,0,1,5,0,0,0,0,0,0,3,180.0,1,0.22,0.01,3.51,3,11.35,-3.65
9274,332,Luke,Shaw,Shaw,Luke Shaw,2,DEF,Man Utd,19,5000000,1211079,BOU (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.34,0.1,0.49,3,11.34,-3.66
9357,335,Marcus,Rashford,Rashford,Marcus Rashford,3,MID,Man Utd,24,7300000,6139400,LEI (H),15,68,2,0,1,0,0,0,0,0,0,0,2,70.0,0,1.08,0.01,1.18,3,10.43,-4.57
10270,369,Miguel,Almirón,Almirón Rejala,Miguel Almirón Rejala,3,MID,Newcastle,9,5000000,257304,FUL (A),15,90,2,0,0,1,0,0,0,0,0,0,3,90.0,1,1.04,0.04,0.47,2,10.32,-4.68
6709,239,Junior,Firpo,Firpo Adames,Junior Firpo Adames,2,DEF,Leeds,25,4500000,4996,SOU (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.07,0.2,0.37,3,10.02,-4.98
12928,461,Kurt,Zouma,Zouma,Kurt Zouma,2,DEF,West Ham,13,4500000,187618,BOU (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.32,0.0,0.39,2,9.92,-5.08
2925,104,Pascal,Groß,Groß,Pascal Groß,3,MID,Brighton,1,5500000,13469,MUN (A),15,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,0.9,0.06,1.38,3,9.68,-5.32
7365,262,Kelechi,Iheanacho,Iheanacho,Kelechi Iheanacho,4,FWD,Leicester,22,6100000,46170,AVL (A),15,66,1,2,0,2,0,0,0,0,0,0,3,70.0,0,0.79,0.35,1.3,3,9.21,-5.79
11374,407,James,Ward-Prowse,Ward-Prowse,James Ward-Prowse,3,MID,Southampton,20,6200000,499764,EVE (A),15,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,0.71,0.2,1.41,3,9.15,-5.85
441,16,Gabriel,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,2,DEF,Arsenal,25,5200000,3018648,LEI (A) / EVE (H),15,180,0,0,2,0,0,0,0,0,0,0,3,180.0,1,0.0,0.02,1.38,1,9.06,-5.94
357,13,Bukayo,Saka,Saka,Bukayo Saka,3,MID,Arsenal,25,8400000,8884362,LEI (A) / EVE (H),15,171,1,1,2,0,0,0,0,0,0,0,1,170.0,1,0.47,0.08,0.76,0,7.59,-7.41
10179,366,Fabian,Schär,Schär,Fabian Schär,2,DEF,Newcastle,1,4500000,40132,NFO (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.06,0.06,0.28,1,7.54,-7.46
7947,283,Mohamed,Salah,Salah,Mohamed Salah,3,MID,Liverpool,15,12800000,3189108,TOT (A),15,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,0.67,0.04,1.17,2,7.47,-7.53
8443,301,Kevin,De Bruyne,De Bruyne,Kevin De Bruyne,3,MID,Man City,23,12400000,8129458,AVL (H) / ARS (A),15,176,1,1,0,2,0,0,0,0,0,0,3,180.0,1,0.21,0.4,1.73,0,7.25,-7.75
17130,614,Willian,Willian,Borges da Silva,Willian Borges da Silva,3,MID,Fulham,19,5500000,53218,LEI (A) / CHE (H),15,163,1,1,1,1,0,0,0,0,0,0,2,160.0,0,0.19,0.28,3.61,0,5.79,-9.21
5890,210,Aleksandar,Mitrović,Mitrović,Aleksandar Mitrović,4,FWD,Fulham,17,6800000,2007226,CRY (A),15,84,1,2,1,0,0,0,0,0,0,0,3,80.0,1,0.77,0.19,0.26,0,5.65,-9.35
3136,111,Leandro,Trossard,Trossard,Leandro Trossard,3,MID,Arsenal,27,6600000,782502,FUL (A),15,76,0,3,1,0,0,0,0,0,0,0,3,80.0,0,0.22,0.49,0.72,1,5.57,-9.43
5586,199,James,Tarkowski,Tarkowski,James Tarkowski,2,DEF,Everton,22,4200000,125054,ARS (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,0,0.25,0.01,0.86,2,5.53,-9.47
3960,142,Mason,Mount,Mount,Mason Mount,3,MID,Chelsea,11,7600000,510937,AVL (A),15,90,2,0,1,0,0,0,0,1,0,0,3,90.0,0,0.44,0.04,1.79,1,5.32,-9.68
706,26,William,Saliba,Saliba,William Saliba,2,DEF,Arsenal,8,4800000,2317437,BRE (A),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,0,0.16,0.01,0.53,0,2.99,-12.01
10411,374,Bruno,Bruno Guimarães,Guimarães Rodriguez Moura,Bruno Guimarães Rodriguez Moura,3,MID,Newcastle,10,5600000,263597,BRE (H),15,77,2,0,0,1,0,0,0,0,0,0,3,80.0,0,0.08,0.12,1.17,0,2.76,-12.24
4980,178,Seamus,Coleman,Coleman,Seamus Coleman,2,DEF,Everton,24,4400000,20193,LEE (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,0,0.05,0.02,0.6,0,2.36,-12.64
13398,478,José,Sá,Malheiro de Sá,José Malheiro de Sá,1,GK,Wolves,2,5000000,320020,FUL (H),15,90,0,0,1,0,0,1,0,0,0,3,3,90.0,0,0.0,0.0,1.49,0,2.0,-13.0
7890,281,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,1,GK,Liverpool,12,5400000,1515650,WHU (H),15,90,0,0,1,0,0,1,0,0,0,3,3,90.0,0,0.0,0.0,1.84,0,1.0,-14.0
10345,371,Joelinton Cássio,Joelinton,Apolinário de Lira,Joelinton Cássio Apolinário de Lira,3,MID,Newcastle,29,5900000,130506,MUN (H) / WHU (A),14,112,2,0,0,1,0,0,0,1,0,0,2,110.0,0,1.65,0.04,1.07,3,14.37,0.37
3268,116,Alexis,Mac Allister,Mac Allister,Alexis Mac Allister,3,MID,Brighton,26,5400000,339129,WHU (H),14,90,1,1,1,0,0,0,0,0,0,0,3,90.0,1,1.2,0.33,0.38,3,12.99,-1.01
8497,303,Riyad,Mahrez,Mahrez,Riyad Mahrez,3,MID,Man City,23,7800000,2900338,AVL (H) / ARS (A),14,144,1,1,0,2,0,0,0,0,0,0,2,140.0,1,1.24,0.22,1.56,2,12.86,-1.14
9953,357,Kieran,Trippier,Trippier,Kieran Trippier,2,DEF,Newcastle,29,6100000,15126662,MUN (H) / WHU (A),14,176,0,1,1,1,0,0,0,0,0,0,3,180.0,1,0.0,0.69,1.24,1,11.07,-2.93
3251,116,Alexis,Mac Allister,Mac Allister,Alexis Mac Allister,3,MID,Brighton,6,5500000,165483,LEI (H),14,90,2,0,0,2,0,0,0,1,0,0,3,90.0,0,0.97,0.03,1.45,3,9.94,-4.06
4453,159,Jordan,J.Ayew,Ayew,Jordan Ayew,3,MID,Crystal Palace,30,5200000,24348,LEE (A),14,79,2,0,0,1,0,0,0,0,0,0,2,80.0,0,0.87,0.01,0.89,3,9.38,-4.62
702,26,William,Saliba,Saliba,William Saliba,2,DEF,Arsenal,3,4500000,521329,BOU (A),14,90,1,0,1,0,0,0,0,0,0,0,2,90.0,1,0.1,0.0,0.28,2,8.6,-5.4
5638,201,Tim,Ream,Ream,Tim Ream,2,DEF,Fulham,17,4500000,21852,CRY (A),14,90,1,0,1,0,0,0,0,0,0,0,2,90.0,1,0.08,0.0,0.4,2,8.48,-5.52
2484,88,Mathias,Jensen,Jensen,Mathias Jensen,3,MID,Brentford,2,5000000,5451,MUN (H),14,73,1,1,1,0,0,0,0,0,0,0,3,70.0,0,0.31,0.35,0.74,3,7.6,-6.4
9350,335,Marcus,Rashford,Rashford,Marcus Rashford,3,MID,Man Utd,17,6700000,3082819,NFO (H),14,85,1,1,1,0,0,0,0,0,0,0,3,80.0,0,0.41,0.08,0.6,3,7.29,-6.71
868,31,Emiliano,Martínez,Martínez Romero,Emiliano Martínez Romero,1,GK,Aston Villa,29,4900000,1184022,CHE (A) / LEI (A),14,180,0,0,1,1,0,0,0,0,0,10,3,180.0,1,0.0,0.01,2.57,0,7.03,-6.97
6521,233,Jack,Harrison,Harrison,Jack Harrison,3,MID,Leeds,3,6000000,126900,CHE (H),14,82,1,1,1,0,0,0,0,0,0,0,3,80.0,0,0.54,0.1,0.88,2,7.0,-7.0
