,player_code,first_name,web_name,second_name,player_name,position_id,position,team,round,value,selected,fixture,round_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,xbonus,expected_fpl_points,fpl_points_over_expected
14593,520,Kalidou,Koulibaly,Koulibaly,Kalidou Koulibaly,2,DEF,Chelsea,6,5500000,822809,WHU (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.09,0.01,1.1,0,2.57,0.57
11376,407,James,Ward-Prowse,Ward-Prowse,James Ward-Prowse,3,MID,Southampton,22,6200000,596361,BRE (A),2,90,0,0,0,3,0,0,0,0,0,0,0,90.0,0,0.09,0.04,2.13,0,2.57,0.57
3125,111,Leandro,Trossard,Trossard,Leandro Trossard,3,MID,Arsenal,16,7100000,3041104,AVL (H),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.03,0.14,1.49,0,2.57,0.57
7993,285,Trent,Alexander-Arnold,Alexander-Arnold,Trent Alexander-Arnold,2,DEF,Liverpool,5,7500000,4893854,NEW (H),2,70,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.08,0.03,0.66,0,2.57,0.57
3357,120,Moisés,Caicedo,Caicedo Corozo,Moisés Caicedo Corozo,3,MID,Brighton,10,5000000,40134,TOT (H),2,88,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.04,0.12,0.79,0,2.56,0.56
16297,580,Mikkel,Damsgaard,Damsgaard,Mikkel Damsgaard,3,MID,Brentford,28,5000000,7708,LEI (H),2,60,0,0,0,1,0,0,0,0,0,0,0,60.0,0,0.09,0.37,0.93,0,2.56,0.56
14999,534,Dwight,McNeil,McNeil,Dwight McNeil,3,MID,Everton,16,5200000,15083,BOU (A),2,74,0,0,0,3,0,0,0,0,0,0,0,70.0,0,0.07,0.07,2.25,0,2.56,0.56
4187,150,Armando,Broja,Broja,Armando Broja,4,FWD,Chelsea,16,5300000,65756,NEW (A),2,72,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.11,0.04,1.03,0,2.56,0.56
7734,275,Jordan,Henderson,Henderson,Jordan Henderson,3,MID,Liverpool,18,5300000,56223,LEI (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.1,0.02,0.99,0,2.56,0.56
13476,480,Rúben,Neves,da Silva Neves,Rúben da Silva Neves,3,MID,Wolves,23,5400000,188858,SOU (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.1,0.02,1.14,0,2.56,0.56
5286,189,Demarai,Gray,Gray,Demarai Gray,3,MID,Everton,11,5500000,86419,TOT (A),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.1,0.02,2.27,0,2.56,0.56
1173,42,Emiliano,Buendía,Buendía Stati,Emiliano Buendía Stati,3,MID,Aston Villa,15,5700000,34632,MUN (H),2,78,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.1,0.02,0.52,0,2.56,0.56
14564,519,Christian,Eriksen,Eriksen,Christian Eriksen,3,MID,Man Utd,3,6400000,325424,LIV (H),2,85,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.1,0.02,1.35,0,2.56,0.56
5352,191,Dominic,Calvert-Lewin,Calvert-Lewin,Dominic Calvert-Lewin,4,FWD,Everton,19,7900000,36954,BHA (H),2,82,0,0,0,4,0,0,0,0,0,0,0,80.0,0,0.11,0.04,2.14,0,2.56,0.56
6641,237,Sam,Greenwood,Greenwood,Sam Greenwood,4,FWD,Leeds,13,4300000,1051264,FUL (H),2,75,0,0,0,2,0,0,0,0,0,0,0,80.0,0,0.07,0.09,1.3,0,2.55,0.55
13558,483,Daniel,Podence,Castelo Podence,Daniel Castelo Podence,3,MID,Wolves,18,5300000,85728,MUN (H),2,80,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.08,0.05,1.78,0,2.55,0.55
14988,534,Dwight,McNeil,McNeil,Dwight McNeil,3,MID,Everton,4,5400000,21573,BRE (A),2,85,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.08,0.05,2.05,0,2.55,0.55
3256,116,Alexis,Mac Allister,Mac Allister,Alexis Mac Allister,3,MID,Brighton,13,5600000,602883,MCI (A),2,86,0,0,0,3,0,0,0,0,0,0,0,90.0,0,0.02,0.15,1.63,0,2.55,0.55
6358,227,Patrick,Bamford,Bamford,Patrick Bamford,4,FWD,Leeds,10,7300000,44936,CRY (A),2,61,0,0,0,1,0,0,0,0,0,0,0,60.0,0,0.38,0.01,0.66,0,2.55,0.55
12993,463,Vladimir,Coufal,Coufal,Vladimir Coufal,2,DEF,West Ham,22,4100000,76647,NEW (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.0,0.18,0.82,0,2.54,0.54
5928,211,Harrison,Reed,Reed,Harrison Reed,3,MID,Fulham,27,4300000,69781,ARS (H),2,90,0,0,0,3,0,0,0,0,0,0,0,90.0,0,0.0,0.18,2.38,0,2.54,0.54
12977,463,Vladimir,Coufal,Coufal,Vladimir Coufal,2,DEF,West Ham,5,4400000,70869,TOT (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.0,0.18,0.63,0,2.54,0.54
6862,245,Marc,Roca,Roca Junqué,Marc Roca Junqué,3,MID,Leeds,10,4900000,15471,CRY (A),2,83,0,0,0,2,0,0,0,0,0,0,0,80.0,0,0.09,0.03,0.85,0,2.54,0.54
7788,277,Thiago,Thiago,Alcántara do Nascimento,Thiago Alcántara do Nascimento,3,MID,Liverpool,18,5200000,85110,LEI (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.09,0.03,0.99,0,2.54,0.54
11344,406,Mohamed,Elyounoussi,Elyounoussi,Mohamed Elyounoussi,3,MID,Southampton,19,5200000,6686,NFO (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.09,0.03,1.37,0,2.54,0.54
13480,480,Rúben,Neves,da Silva Neves,Rúben da Silva Neves,3,MID,Wolves,27,5400000,262670,NEW (A),2,68,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.09,0.03,1.83,0,2.54,0.54
13466,480,Rúben,Neves,da Silva Neves,Rúben da Silva Neves,3,MID,Wolves,13,5500000,179094,LEI (H),2,90,0,0,0,4,0,0,0,0,0,0,0,90.0,0,0.09,0.03,0.89,0,2.54,0.54
8743,312,Rúben,Dias,Gato Alves Dias,Rúben Gato Alves Dias,2,DEF,Man City,25,5900000,740759,BOU (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.07,0.04,1.35,0,2.54,0.54
11476,411,Che,Adams,Adams,Che Adams,4,FWD,Southampton,5,6400000,100704,CHE (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.0,0.18,1.1,0,2.54,0.54
14857,529,Gianluca,Scamacca,Scamacca,Gianluca Scamacca,4,FWD,West Ham,13,6800000,240591,BOU (H),2,73,0,0,1,0,0,0,0,0,0,0,0,70.0,1,0.09,0.06,0.34,0,2.54,0.54
2270,80,Ivan,Toney,Toney,Ivan Toney,4,FWD,Brentford,13,7400000,2952473,AVL (A),2,90,0,0,0,4,0,0,0,0,0,0,0,90.0,0,0.03,0.14,2.9,0,2.54,0.54
9294,333,Bruno,Fernandes,Borges Fernandes,Bruno Borges Fernandes,3,MID,Man Utd,13,9800000,240050,CHE (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.06,0.08,1.06,0,2.54,0.54
11981,428,Son,Son,Heung-min,Son Heung-min,3,MID,Spurs,18,11600000,655739,AVL (H),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.06,0.08,1.0,0,2.54,0.54
14287,509,Flynn,Downes,Downes,Flynn Downes,3,MID,West Ham,12,4300000,41016,LIV (A),2,73,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.1,0.01,1.09,0,2.53,0.53
2534,89,Yoane,Wissa,Wissa,Yoane Wissa,3,MID,Brentford,26,5300000,23533,FUL (H),2,76,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.1,0.01,1.13,0,2.53,0.53
14374,512,Joe,Aribo,Ayodele-Aribo,Joe Ayodele-Aribo,3,MID,Southampton,14,5300000,45447,CRY (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.04,0.11,0.89,0,2.53,0.53
4728,169,Eberechi,Eze,Eze,Eberechi Eze,3,MID,Crystal Palace,27,5400000,472158,MCI (H) / BHA (A),2,55,0,0,0,0,0,0,0,0,0,0,0,55.0,0,0.07,0.06,0.47,0,2.53,0.53
13465,480,Rúben,Neves,da Silva Neves,Rúben da Silva Neves,3,MID,Wolves,12,5500000,188131,CRY (A),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.1,0.01,1.2,0,2.53,0.53
13003,464,Saïd,Benrahma,Benrahma,Saïd Benrahma,3,MID,West Ham,3,6000000,193031,BHA (H),2,74,0,0,0,2,0,0,0,0,0,0,0,70.0,0,0.1,0.01,1.57,0,2.53,0.53
3119,111,Leandro,Trossard,Trossard,Leandro Trossard,3,MID,Arsenal,10,6700000,1285348,TOT (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.07,0.06,0.79,0,2.53,0.53
2281,80,Ivan,Toney,Toney,Ivan Toney,4,FWD,Brentford,24,7700000,3465586,CRY (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.11,0.03,1.11,0,2.53,0.53
11969,428,Son,Son,Heung-min,Son Heung-min,3,MID,Spurs,5,11800000,1156313,WHU (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.1,0.01,1.24,0,2.53,0.53
16619,593,Carlos Henrique,Casemiro,Casimiro,Carlos Henrique Casimiro,3,MID,Man Utd,12,4900000,154139,TOT (H),2,86,0,0,1,0,0,0,0,1,0,0,0,90.0,0,0.08,0.04,0.58,0,2.52,0.52
1015,37,John,McGinn,McGinn,John McGinn,3,MID,Aston Villa,1,5500000,159781,BOU (A),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.08,0.04,0.59,0,2.52,0.52
837,30,Danny,Ings,Ings,Danny Ings,4,FWD,West Ham,26,6400000,209223,BHA (A),2,90,0,0,0,4,0,0,0,0,0,0,0,90.0,0,0.13,0.0,3.56,0,2.52,0.52
8707,311,Bernardo,Bernardo,Veiga de Carvalho e Silva,Bernardo Veiga de Carvalho e Silva,3,MID,Man City,16,6900000,927393,BRE (H),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.02,0.14,1.29,0,2.52,0.52
1604,57,Adam,Smith,Smith,Adam Smith,2,DEF,Bournemouth,12,4400000,25087,SOU (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.0,0.17,1.03,0,2.51,0.51
10495,377,Sven,Botman,Botman,Sven Botman,2,DEF,Newcastle,10,4400000,197975,BRE (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.08,0.01,1.19,0,2.51,0.51
17360,624,Samuel,Edozie,Edozie,Samuel Edozie,3,MID,Southampton,18,4700000,1269,FUL (A),2,76,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.09,0.02,0.51,0,2.51,0.51
9416,338,Scott,McTominay,McTominay,Scott McTominay,3,MID,Man Utd,3,4900000,21148,LIV (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.0,0.17,1.35,0,2.51,0.51
2486,88,Mathias,Jensen,Jensen,Mathias Jensen,3,MID,Brentford,4,5100000,314192,EVE (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.03,0.12,1.07,0,2.51,0.51
4693,168,Jean-Philippe,Mateta,Mateta,Jean-Philippe Mateta,4,FWD,Crystal Palace,20,5100000,87566,CHE (A) / MUN (H),2,76,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.09,0.05,2.16,0,2.51,0.51
4696,168,Jean-Philippe,Mateta,Mateta,Jean-Philippe Mateta,4,FWD,Crystal Palace,23,5100000,39848,BHA (H),2,70,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.12,0.01,1.9,0,2.51,0.51
13149,469,Pablo,Fornals,Fornals Malla,Pablo Fornals Malla,3,MID,West Ham,10,5300000,83036,FUL (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.0,0.17,0.7,0,2.51,0.51
5208,186,Alex,Iwobi,Iwobi,Alex Iwobi,3,MID,Everton,20,5400000,85731,SOU (H),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.06,0.07,1.24,0,2.51,0.51
5193,186,Alex,Iwobi,Iwobi,Alex Iwobi,3,MID,Everton,4,5500000,20166,BRE (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.09,0.02,2.15,0,2.51,0.51
17217,618,Carlos Vinícius,Vinícius,Alves Morais,Carlos Vinícius Alves Morais,4,FWD,Fulham,15,5500000,6425,MCI (A),2,75,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.0,0.17,1.12,0,2.51,0.51
3098,110,Neal,Maupay,Maupay,Neal Maupay,4,FWD,Everton,17,6100000,67452,WOL (H),2,82,0,0,0,1,0,0,0,0,0,0,0,80.0,1,0.12,0.01,0.48,0,2.51,0.51
11473,411,Che,Adams,Adams,Che Adams,4,FWD,Southampton,2,6400000,53680,LEE (H),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.12,0.01,1.93,0,2.51,0.51
12737,454,Richarlison,Richarlison,de Andrade,Richarlison de Andrade,4,FWD,Spurs,20,8400000,143742,ARS (H) / MCI (A),2,31,0,0,0,1,0,0,0,0,0,0,0,30.0,0,0.12,0.01,0.67,0,2.51,0.51
7702,274,James,Milner,Milner,James Milner,3,MID,Liverpool,13,4400000,101830,NFO (A),2,61,0,0,0,1,0,0,0,0,0,0,0,60.0,0,0.0,0.5,1.37,0,2.5,0.5
14133,503,João Filipe Iria,Moutinho,Santos Moutinho,João Filipe Iria Santos Moutinho,3,MID,Wolves,27,4700000,39174,NEW (A),2,74,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.07,0.05,1.83,0,2.5,0.5
16622,593,Carlos Henrique,Casemiro,Casimiro,Carlos Henrique Casimiro,3,MID,Man Utd,15,4900000,203442,AVL (A),2,90,0,0,0,3,0,0,0,0,0,0,0,90.0,0,0.01,0.15,0.66,0,2.5,0.5
14704,524,Lewis,O'Brien,O'Brien,Lewis O'Brien,3,MID,Nott'm Forest,3,5000000,6212,EVE (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.07,0.05,1.51,0,2.5,0.5
11333,406,Mohamed,Elyounoussi,Elyounoussi,Mohamed Elyounoussi,3,MID,Southampton,8,5300000,7607,AVL (A),2,78,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.1,0.0,0.88,0,2.5,0.5
5739,205,Bobby,De Cordova-Reid,De Cordova-Reid,Bobby De Cordova-Reid,3,MID,Fulham,5,5500000,9562,BHA (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.1,0.0,1.42,0,2.5,0.5
1175,42,Emiliano,Buendía,Buendía Stati,Emiliano Buendía Stati,3,MID,Aston Villa,17,5700000,33918,LIV (H),2,85,0,0,0,3,0,0,0,0,0,0,0,80.0,0,0.07,0.05,2.7,0,2.5,0.5
16871,603,Lucas,Paquetá,Tolentino Coelho de Lima,Lucas Tolentino Coelho de Lima,3,MID,West Ham,18,5900000,65843,BRE (H),2,81,0,0,0,2,0,0,0,0,0,0,0,80.0,0,0.07,0.05,1.63,0,2.5,0.5
3120,111,Leandro,Trossard,Trossard,Leandro Trossard,3,MID,Arsenal,11,6800000,1733300,BRE (A),2,68,0,0,0,2,0,0,0,0,0,0,0,70.0,0,0.07,0.05,1.37,0,2.5,0.5
8526,304,Raheem,Sterling,Sterling,Raheem Sterling,3,MID,Chelsea,25,9700000,381051,TOT (A),2,82,0,0,0,2,0,0,0,0,0,0,0,80.0,0,0.04,0.1,0.71,0,2.5,0.5
153,6,Thomas,Partey,Partey,Thomas Partey,3,MID,Arsenal,17,4800000,59947,WHU (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.05,0.08,1.07,0,2.49,0.49
3729,134,N'Golo,Kanté,Kanté,N'Golo Kanté,3,MID,Chelsea,2,5000000,405963,TOT (H),2,84,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.05,0.08,0.58,0,2.49,0.49
5477,195,Anthony,Gordon,Gordon,Anthony Gordon,3,MID,Newcastle,29,5100000,211140,MUN (H) / WHU (A),2,48,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0.05,0.08,0.29,0,2.49,0.49
1981,70,Philip,Billing,Billing,Philip Billing,3,MID,Bournemouth,12,5300000,231650,SOU (H),2,82,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.08,0.03,0.89,0,2.49,0.49
5211,186,Alex,Iwobi,Iwobi,Alex Iwobi,3,MID,Everton,23,5400000,74617,LIV (A),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.02,0.13,2.19,0,2.49,0.49
11489,411,Che,Adams,Adams,Che Adams,4,FWD,Southampton,19,6300000,202584,NFO (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.1,0.03,1.37,0,2.49,0.49
14258,508,Luis,Sinisterra,Sinisterra Lucumí,Luis Sinisterra Lucumí,3,MID,Leeds,12,6500000,69908,LEI (A),2,74,0,0,0,2,0,0,0,0,0,0,0,70.0,0,0.08,0.03,0.79,0,2.49,0.49
18444,690,João,João Félix,Félix Sequeira,João Félix Sequeira,4,FWD,Chelsea,25,7600000,422800,TOT (A),2,82,0,0,0,2,0,0,0,0,0,0,0,80.0,0,0.1,0.03,0.71,0,2.49,0.49
18330,680,Cody,Gakpo,Gakpo,Cody Gakpo,3,MID,Liverpool,27,7800000,598324,BOU (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.08,0.03,0.86,0,2.49,0.49
13054,465,Jarrod,Bowen,Bowen,Jarrod Bowen,3,MID,West Ham,27,8000000,299551,AVL (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.02,0.13,1.58,0,2.49,0.49
7662,272,Wesley,W.Fofana,Fofana,Wesley Fofana,2,DEF,Chelsea,30,4300000,121136,WOL (A),2,79,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.07,0.02,0.56,0,2.48,0.48
9525,342,Diogo,Dalot,Dalot Teixeira,Diogo Dalot Teixeira,2,DEF,Man Utd,10,4500000,852123,EVE (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.07,0.02,0.65,0,2.48,0.48
16360,583,Cheikhou,Kouyaté,Kouyaté,Cheikhou Kouyaté,3,MID,Nott'm Forest,10,4500000,26908,AVL (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.09,0.01,0.69,0,2.48,0.48
12822,457,Aaron,Cresswell,Cresswell,Aaron Cresswell,2,DEF,West Ham,20,4800000,177421,WOL (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.03,0.1,0.84,0,2.48,0.48
13102,467,Declan,Rice,Rice,Declan Rice,3,MID,West Ham,19,4800000,380827,LEE (A),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.09,0.01,1.48,0,2.48,0.48
16194,577,Amadou,Onana,Onana,Amadou Onana,3,MID,Everton,6,4900000,15380,LIV (H),2,90,0,0,1,0,0,0,0,1,0,0,0,90.0,0,0.09,0.01,2.19,0,2.48,0.48
1190,43,Matty,Cash,Cash,Matty Cash,2,DEF,Aston Villa,2,5000000,1525592,EVE (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.0,0.16,1.33,0,2.48,0.48
1800,64,Jefferson,Lerma,Lerma Solís,Jefferson Lerma Solís,3,MID,Bournemouth,4,5000000,88836,LIV (A),2,90,0,0,0,9,0,0,0,0,0,0,0,90.0,0,0.06,0.06,3.32,0,2.48,0.48
3350,120,Moisés,Caicedo,Caicedo Corozo,Moisés Caicedo Corozo,3,MID,Brighton,1,5000000,7058,MUN (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.0,0.16,1.38,0,2.48,0.48
6169,220,João,Palhinha,Palhinha Gonçalves,João Palhinha Gonçalves,3,MID,Fulham,16,5000000,27354,MUN (H),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.09,0.01,2.59,0,2.48,0.48
2488,88,Mathias,Jensen,Jensen,Mathias Jensen,3,MID,Brentford,6,5100000,335685,LEE (H),2,82,0,0,0,2,0,0,0,0,0,0,0,80.0,0,0.09,0.01,1.73,0,2.48,0.48
2489,88,Mathias,Jensen,Jensen,Mathias Jensen,3,MID,Brentford,8,5100000,316843,ARS (H),2,68,0,0,0,3,0,0,0,0,0,0,0,70.0,0,0.0,0.16,1.33,0,2.48,0.48
7784,277,Thiago,Thiago,Alcántara do Nascimento,Thiago Alcántara do Nascimento,3,MID,Liverpool,14,5200000,83628,LEE (H),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.0,0.16,1.77,0,2.48,0.48
2258,79,Christian,Nørgaard,Nørgaard,Christian Nørgaard,3,MID,Brentford,30,5300000,29388,NEW (H),2,80,0,0,0,2,0,0,0,0,0,0,0,80.0,0,0.09,0.01,0.8,0,2.48,0.48
5214,186,Alex,Iwobi,Iwobi,Alex Iwobi,3,MID,Everton,26,5400000,263917,NFO (A),2,88,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.03,0.11,0.87,0,2.48,0.48
5290,189,Demarai,Gray,Gray,Demarai Gray,3,MID,Everton,15,5400000,74537,LEI (H),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.03,0.11,2.36,0,2.48,0.48
12323,440,Rodrigo,Bentancur,Bentancur,Rodrigo Bentancur,3,MID,Spurs,12,5400000,50847,MUN (A),2,88,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.06,0.06,1.61,0,2.48,0.48
2945,104,Pascal,Groß,Groß,Pascal Groß,3,MID,Brighton,23,5500000,1169287,CRY (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.0,0.16,0.89,0,2.48,0.48
14791,527,Jesse,Lingard,Lingard,Jesse Lingard,3,MID,Nott'm Forest,4,5900000,368337,TOT (H),2,68,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.03,0.11,1.52,0,2.48,0.48
7966,284,Andrew,Robertson,Robertson,Andrew Robertson,2,DEF,Liverpool,5,6900000,773269,NEW (H),2,70,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.04,0.08,0.66,0,2.48,0.48
6376,227,Patrick,Bamford,Bamford,Patrick Bamford,4,FWD,Leeds,28,7100000,56595,WOL (A),2,66,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.06,0.08,1.36,0,2.48,0.48
13030,465,Jarrod,Bowen,Bowen,Jarrod Bowen,3,MID,West Ham,2,8500000,575857,NFO (A),2,84,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.09,0.01,1.36,0,2.48,0.48
13135,468,Tomas,Soucek,Soucek,Tomas Soucek,3,MID,West Ham,24,5100000,68047,TOT (A),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.07,0.04,1.48,0,2.47,0.47
7726,275,Jordan,Henderson,Henderson,Jordan Henderson,3,MID,Liverpool,10,5300000,56416,ARS (A),2,90,0,0,0,3,0,0,0,0,0,0,0,90.0,0,0.07,0.04,3.09,0,2.47,0.47
18356,682,Matheus,Cunha,Santos Carneiro Da Cunha,Matheus Santos Carneiro Da Cunha,4,FWD,Wolves,30,5300000,13757,CHE (H),2,74,0,0,1,0,0,0,0,0,0,0,0,70.0,0,0.11,0.01,0.86,0,2.47,0.47
17127,614,Willian,Willian,Borges da Silva,Willian Borges da Silva,3,MID,Fulham,16,5500000,14064,MUN (H),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.07,0.04,2.59,0,2.47,0.47
18558,701,Wout,Weghorst,Weghorst,Wout Weghorst,4,FWD,Man Utd,20,6000000,0,MCI (H) / CRY (A),2,68,0,0,1,0,0,0,0,0,0,0,0,70.0,1,0.11,0.01,0.33,0,2.47,0.47
7302,260,Ayoze,Pérez,Pérez,Ayoze Pérez,3,MID,Leicester,17,4700000,9890,NEW (H),2,73,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.08,0.02,0.61,0,2.46,0.46
1817,64,Jefferson,Lerma,Lerma Solís,Jefferson Lerma Solís,3,MID,Bournemouth,22,4800000,45872,BHA (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.08,0.02,2.61,0,2.46,0.46
2494,88,Mathias,Jensen,Jensen,Mathias Jensen,3,MID,Brentford,13,5000000,222939,AVL (A),2,77,0,0,0,4,0,0,0,0,0,0,0,80.0,0,0.02,0.12,2.9,0,2.46,0.46
10791,387,Ryan,Yates,Yates,Ryan Yates,3,MID,Nott'm Forest,17,5000000,4477,MUN (A),2,90,0,0,0,3,0,0,0,0,0,0,0,90.0,0,0.08,0.02,2.47,0,2.46,0.46
17245,619,Wilfried,Gnonto,Gnonto,Wilfried Gnonto,4,FWD,Leeds,21,5000000,78170,BRE (H),2,90,0,0,1,0,0,0,0,0,0,0,0,90.0,1,0.07,0.06,0.29,0,2.46,0.46
1992,70,Philip,Billing,Billing,Philip Billing,3,MID,Bournemouth,23,5100000,39962,NEW (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.08,0.02,1.27,0,2.46,0.46
13477,480,Rúben,Neves,da Silva Neves,Rúben da Silva Neves,3,MID,Wolves,24,5400000,237148,BOU (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.05,0.07,1.01,0,2.46,0.46
11001,394,Brennan,Johnson,Johnson,Brennan Johnson,4,FWD,Nott'm Forest,24,5700000,223969,MCI (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.1,0.02,2.54,0,2.46,0.46
3617,130,Jorge Luiz,Jorginho,Frello Filho,Jorge Luiz Frello Filho,3,MID,Arsenal,2,6000000,390946,TOT (H),2,72,0,0,0,1,0,0,0,0,0,0,0,70.0,0,0.05,0.07,0.58,0,2.46,0.46
14763,526,Ben,Mee,Mee,Ben Mee,2,DEF,Brentford,4,4600000,351329,EVE (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.07,0.01,1.07,0,2.45,0.45
7303,260,Ayoze,Pérez,Pérez,Ayoze Pérez,3,MID,Leicester,18,4700000,9828,LIV (A),2,70,0,0,0,2,0,0,0,0,0,0,0,70.0,0,0.0,0.15,1.63,0,2.45,0.45
14396,513,Clément,Lenglet,Lenglet,Clément Lenglet,2,DEF,Spurs,6,4800000,27594,FUL (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.07,0.01,0.73,0,2.45,0.45
15022,535,Marcus,Tavernier,Tavernier,Marcus Tavernier,3,MID,Bournemouth,10,4900000,13632,LEI (H),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.06,0.05,1.08,0,2.45,0.45
5218,186,Alex,Iwobi,Iwobi,Alex Iwobi,3,MID,Everton,30,5100000,113504,MUN (A),2,90,0,0,0,2,0,0,0,0,0,0,0,90.0,0,0.06,0.05,3.46,0,2.45,0.45
7733,275,Jordan,Henderson,Henderson,Jordan Henderson,3,MID,Liverpool,17,5300000,55378,AVL (A),2,78,0,0,0,1,0,0,0,0,0,0,0,80.0,0,0.03,0.1,1.16,0,2.45,0.45
3575,128,Thiago,Thiago Silva,Emiliano da Silva,Thiago Emiliano da Silva,2,DEF,Chelsea,18,5400000,787654,NFO (A),2,90,0,0,0,1,0,0,0,0,0,0,0,90.0,0,0.0,0.15,1.2,0,2.45,0.45
