,player_code,first_name,web_name,second_name,player_name,position_id,position,team,round,value,selected,fixture,round_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,expected_fpl_points
8797,340,Jadon,Sancho,Sancho,Jadon Sancho,3,MID,MUN,12,7300000,535783,TOT (H),6,86,0,1,1,0,0,0,0,0,0,0,0,90.0,0,0.05,0.14,0.58,2.67
17053,689,Benoît,Badiashile,Badiashile,Benoît Badiashile,2,DEF,CHE,22,5000000,59102,FUL (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.1,0.02,0.67,2.66
8021,308,Nathan,Aké,Aké,Nathan Aké,2,DEF,MCI,25,5100000,519423,BOU (A),6,79,0,0,1,0,0,0,0,0,0,0,0,80.0,0,0.1,0.02,1.16,2.66
9672,374,Bruno,Bruno Guimarães,Guimarães Rodriguez Moura,Bruno Guimarães Rodriguez Moura,3,MID,NEW,17,5700000,476741,LEI (A),6,90,0,1,1,0,0,0,0,0,0,0,0,90.0,0,0.09,0.07,0.52,2.66
2001,76,Jordan,Zemura,Zemura,Jordan Zemura,2,DEF,BOU,8,4400000,13446,NEW (A),6,90,0,1,0,1,0,0,0,0,0,0,1,90.0,0,0.0,0.55,1.92,2.65
12695,487,Rayan,Aït-Nouri,Aït-Nouri,Rayan Aït-Nouri,2,DEF,WOL,11,4300000,117015,NFO (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.1,0.01,1.49,2.63
11146,429,Matt,Doherty,Doherty,Matt Doherty,2,DEF,TOT,10,4600000,29939,BHA (A),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.1,0.0,0.72,2.6
405,16,Gabriel,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,2,DEF,ARS,19,5200000,1560507,NEW (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.09,0.02,1.08,2.6
2987,114,Tariq,Lamptey,Lamptey,Tariq Lamptey,2,DEF,BHA,22,4200000,128574,BOU (H),6,74,0,0,1,0,0,0,0,0,0,0,0,70.0,0,0.0,0.19,0.67,2.57
4275,165,Joachim,Andersen,Andersen,Joachim Andersen,2,DEF,CRY,14,4500000,334067,SOU (H),6,90,0,0,1,0,0,0,0,0,0,0,0,90.0,0,0.09,0.01,1.32,2.57
