,player_code,first_name,web_name,second_name,player_name,position_id,position,team,round,value,selected,fixture,round_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,expected_fpl_points
489,19,Gabriel,Martinelli,Martinelli Silva,Gabriel Martinelli Silva,3,MID,ARS,25,6500000,7408636,LEI (A) / EVE (H),26,180,3,0,2,0,0,0,0,1,0,0,6,180.0,1,1.06,0.3,1.38,11.2
7318,280,Virgil,Van Dijk,van Dijk,Virgil van Dijk,2,DEF,LIV,25,6500000,2493768,CRY (A) / WOL (H),24,180,1,0,2,0,0,0,0,0,0,0,6,180.0,0,0.67,0.02,1.53,8.08
8257,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,MCI,9,12100000,8548463,MUN (H),23,90,3,2,0,3,0,0,0,0,0,0,3,90.0,0,1.11,0.76,1.67,8.72
7274,279,Roberto,Firmino,Firmino,Roberto Firmino,4,FWD,LIV,4,8000000,132781,BOU (H),22,68,2,3,1,0,0,0,0,0,0,0,3,70.0,1,1.18,0.43,0.33,8.01
7394,283,Mohamed,Salah,Salah,Mohamed Salah,3,MID,LIV,26,12700000,2970326,MUN (H),21,90,2,2,1,0,0,0,0,1,0,0,3,90.0,0,0.57,0.5,0.88,6.35
8687,335,Marcus,Rashford,Rashford,Marcus Rashford,3,MID,MUN,22,7200000,11567764,CRY (H) / LEE (H),20,180,2,1,0,3,0,0,0,0,0,0,3,180.0,0,0.98,0.1,1.98,9.2
2898,111,Leandro,Trossard,Trossard,Leandro Trossard,3,MID,ARS,9,6600000,366660,LIV (A),20,86,3,0,0,3,0,0,0,0,0,0,3,90.0,0,0.87,0.15,1.35,6.8
7890,303,Riyad,Mahrez,Mahrez,Riyad Mahrez,3,MID,MCI,20,7500000,868736,MUN (A) / TOT (H),19,180,2,1,0,4,0,0,0,1,0,0,3,180.0,0,0.52,1.1,2.59,9.9
703,28,Gabriel,Jesus,Fernando de Jesus,Gabriel Fernando de Jesus,4,FWD,ARS,2,8000000,6211795,LEI (H),19,83,2,2,0,2,0,0,0,0,0,0,3,80.0,1,1.91,0.05,0.33,9.79
9201,356,Callum,Wilson,Wilson,Callum Wilson,4,FWD,NEW,14,7300000,277785,AVL (H),19,85,2,2,1,0,0,0,0,0,0,0,3,80.0,1,1.89,0.06,0.37,9.74
8637,333,Bruno,Fernandes,Borges Fernandes,Bruno Borges Fernandes,3,MID,MUN,20,9800000,827084,MCI (H) / CRY (A),19,180,2,0,0,2,0,0,0,0,0,0,5,180.0,0,0.64,0.57,1.2,8.91
8157,314,Phil,Foden,Foden,Phil Foden,3,MID,MCI,9,8000000,798125,MUN (H),19,74,3,0,0,1,0,0,0,0,0,0,2,70.0,1,1.08,0.03,0.19,8.49
2810,107,Solly,March,March,Solly March,3,MID,BHA,20,5000000,118677,LIV (H),19,90,2,1,1,0,0,0,0,0,0,0,3,90.0,0,0.89,0.17,1.03,6.96
583,23,Reiss,Nelson,Nelson,Reiss Nelson,3,MID,ARS,14,4800000,1982,NFO (H),19,63,2,1,1,0,0,0,0,0,0,0,3,60.0,0,0.63,0.15,0.39,4.6
11117,428,Son,Son,Heung-min,Son Heung-min,3,MID,TOT,8,11700000,1101949,LEI (H),19,31,3,0,0,0,0,0,0,0,0,0,3,30.0,0,0.67,0.0,0.2,4.35
8146,313,Oleksandr,Zinchenko,Zinchenko,Oleksandr Zinchenko,2,DEF,ARS,25,5100000,2587188,LEI (A) / EVE (H),18,171,0,1,2,0,0,0,0,0,0,0,3,170.0,1,0.06,0.31,0.76,9.29
7957,306,João,Cancelo,Cancelo,João Cancelo,2,DEF,MCI,10,7200000,5506710,SOU (H),18,69,1,1,1,0,0,0,0,0,0,0,3,70.0,1,0.17,0.2,0.05,7.62
6803,261,James,Maddison,Maddison,James Maddison,3,MID,LEI,9,8000000,1102275,NFO (H),18,84,2,1,1,0,0,0,0,1,0,0,3,80.0,0,0.2,0.7,0.85,5.1
8673,335,Marcus,Rashford,Rashford,Marcus Rashford,3,MID,MUN,6,6400000,791377,ARS (H),18,79,2,1,0,1,0,0,0,0,0,0,3,80.0,0,0.52,0.06,1.13,4.78
336,13,Bukayo,Saka,Saka,Bukayo Saka,3,MID,ARS,28,8500000,4764487,CRY (H),18,90,2,1,0,1,0,0,0,0,0,0,3,90.0,0,0.27,0.25,0.6,4.1
8254,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,MCI,5,11800000,6793855,NFO (H),17,68,3,0,1,0,0,0,0,0,0,0,3,70.0,1,1.64,0.05,0.37,8.71
8253,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,MCI,4,11700000,5967805,CRY (H),17,83,3,0,0,2,0,0,0,0,0,0,3,80.0,1,1.41,0.01,0.12,7.67
7424,285,Trent,Alexander-Arnold,Alexander-Arnold,Trent Alexander-Arnold,2,DEF,LIV,4,7500000,4514639,BOU (H),17,82,1,1,1,0,0,0,0,0,0,0,2,80.0,1,0.04,0.25,0.33,6.99
8268,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,MCI,21,12200000,9443086,WOL (H),17,60,3,0,1,0,0,0,0,0,0,0,3,60.0,0,1.39,0.05,0.15,6.71
2106,80,Ivan,Toney,Toney,Ivan Toney,4,FWD,BRE,6,7100000,1515074,LEE (H),17,90,3,0,0,2,0,0,0,0,0,0,3,90.0,0,1.13,0.01,1.92,6.55
12120,465,Jarrod,Bowen,Bowen,Jarrod Bowen,3,MID,WHU,21,8000000,252169,EVE (H),16,90,2,0,1,0,0,0,0,0,0,0,3,90.0,0,1.52,0.24,0.67,10.32
168,7,Martin,Ødegaard,Ødegaard,Martin Ødegaard,3,MID,ARS,16,6400000,1377105,WOL (A),16,90,2,0,1,0,0,0,0,0,0,0,3,90.0,0,1.48,0.03,0.68,9.49
157,7,Martin,Ødegaard,Ødegaard,Martin Ødegaard,3,MID,ARS,3,6400000,1025266,BOU (A),16,73,2,0,1,0,0,0,0,0,0,0,3,70.0,1,0.64,0.05,0.12,6.35
11101,427,Harry,Kane,Kane,Harry Kane,4,FWD,TOT,19,11600000,3068339,CRY (A),16,90,2,1,1,0,0,0,0,0,0,0,3,90.0,0,0.41,0.29,0.79,4.51
13959,535,Marcus,Tavernier,Tavernier,Marcus Tavernier,3,MID,BOU,15,4900000,11814,LEE (A),16,90,1,2,0,4,0,0,0,0,0,0,3,90.0,0,0.24,0.23,2.16,3.89
319,13,Bukayo,Saka,Saka,Bukayo Saka,3,MID,ARS,10,7800000,1146083,LIV (H),15,90,2,0,0,2,0,0,0,0,0,0,3,90.0,0,2.04,0.02,1.01,12.26
331,13,Bukayo,Saka,Saka,Bukayo Saka,3,MID,ARS,23,8300000,6850918,BRE (H) / MCI (H),15,180,1,1,0,4,0,0,0,0,0,0,3,180.0,0,1.14,0.56,4.08,11.38
401,16,Gabriel,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,2,DEF,ARS,15,5100000,1113779,CHE (A),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.78,0.01,0.29,10.71
5848,225,Rodrigo,Rodrigo,Moreno,Rodrigo Moreno,3,MID,LEE,2,6000000,156860,SOU (A),15,90,2,0,0,2,0,0,0,0,0,0,3,90.0,0,1.3,0.25,1.22,9.25
7901,304,Raheem,Sterling,Sterling,Raheem Sterling,3,MID,CHE,4,9900000,473197,LEI (H),15,74,2,0,0,1,0,0,0,0,0,0,3,70.0,0,1.17,0.23,1.39,8.54
11592,445,Emerson,Emerson Royal,Leite de Souza Junior,Emerson Leite de Souza Junior,2,DEF,TOT,24,4900000,199969,WHU (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.33,0.17,0.48,8.49
8612,332,Luke,Shaw,Shaw,Luke Shaw,2,DEF,MUN,19,5000000,1211079,BOU (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.34,0.1,0.49,8.34
9534,369,Miguel,Almirón,Almirón Rejala,Miguel Almirón Rejala,3,MID,NEW,9,5000000,257304,FUL (A),15,90,2,0,0,1,0,0,0,0,0,0,3,90.0,1,1.04,0.04,0.47,8.32
411,16,Gabriel,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,2,DEF,ARS,25,5200000,3018648,LEI (A) / EVE (H),15,180,0,0,2,0,0,0,0,0,0,0,3,180.0,1,0.0,0.02,1.38,8.06
12008,461,Kurt,Zouma,Zouma,Kurt Zouma,2,DEF,WHU,13,4500000,187618,BOU (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.32,0.0,0.39,7.92
333,13,Bukayo,Saka,Saka,Bukayo Saka,3,MID,ARS,25,8400000,8884362,LEI (A) / EVE (H),15,171,1,1,2,0,0,0,0,0,0,0,1,170.0,1,0.47,0.08,0.76,7.59
8689,335,Marcus,Rashford,Rashford,Marcus Rashford,3,MID,MUN,24,7300000,6139400,LEI (H),15,68,2,0,1,0,0,0,0,0,0,0,2,70.0,0,1.08,0.01,1.18,7.43
7843,301,Kevin,De Bruyne,De Bruyne,Kevin De Bruyne,3,MID,MCI,23,12400000,8129458,AVL (H) / ARS (A),15,176,1,1,0,2,0,0,0,0,0,0,3,180.0,1,0.21,0.4,1.73,7.25
6233,239,Junior,Firpo,Firpo Adames,Junior Firpo Adames,2,DEF,LEE,25,4500000,4996,SOU (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.07,0.2,0.37,7.02
2719,104,Pascal,Groß,Groß,Pascal Groß,3,MID,BHA,1,5500000,13469,MUN (A),15,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,0.9,0.06,1.38,6.68
9449,366,Fabian,Schär,Schär,Fabian Schär,2,DEF,NEW,1,4500000,40132,NFO (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,1,0.06,0.06,0.28,6.54
6843,262,Kelechi,Iheanacho,Iheanacho,Kelechi Iheanacho,4,FWD,LEI,22,6100000,46170,AVL (A),15,66,1,2,0,2,0,0,0,0,0,0,3,70.0,0,0.79,0.35,1.3,6.21
10562,407,James,Ward-Prowse,Ward-Prowse,James Ward-Prowse,3,MID,SOU,20,6200000,499764,EVE (A),15,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,0.71,0.2,1.41,6.15
15904,614,Willian,Willian,Borges da Silva,Willian Borges da Silva,3,MID,FUL,19,5500000,53218,LEI (A) / CHE (H),15,163,1,1,1,1,0,0,0,0,0,0,2,160.0,0,0.19,0.28,3.61,5.79
5472,210,Aleksandar,Mitrović,Mitrović,Aleksandar Mitrović,4,FWD,FUL,17,6800000,2007226,CRY (A),15,84,1,2,1,0,0,0,0,0,0,0,3,80.0,1,0.77,0.19,0.26,5.65
7383,283,Mohamed,Salah,Salah,Mohamed Salah,3,MID,LIV,15,12800000,3189108,TOT (A),15,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,0.67,0.04,1.17,5.47
2916,111,Leandro,Trossard,Trossard,Leandro Trossard,3,MID,ARS,27,6600000,782502,FUL (A),15,76,0,3,1,0,0,0,0,0,0,0,3,80.0,0,0.22,0.49,0.72,4.57
3678,142,Mason,Mount,Mount,Mason Mount,3,MID,CHE,11,7600000,510937,AVL (A),15,90,2,0,1,0,0,0,0,1,0,0,3,90.0,0,0.44,0.04,1.79,4.32
5190,199,James,Tarkowski,Tarkowski,James Tarkowski,2,DEF,EVE,22,4200000,125054,ARS (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,0,0.25,0.01,0.86,3.53
656,26,William,Saliba,Saliba,William Saliba,2,DEF,ARS,8,4800000,2317437,BRE (A),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,0,0.16,0.01,0.53,2.99
9665,374,Bruno,Bruno Guimarães,Guimarães Rodriguez Moura,Bruno Guimarães Rodriguez Moura,3,MID,NEW,10,5600000,263597,BRE (H),15,77,2,0,0,1,0,0,0,0,0,0,3,80.0,0,0.08,0.12,1.17,2.76
4626,178,Seamus,Coleman,Coleman,Seamus Coleman,2,DEF,EVE,24,4400000,20193,LEE (H),15,90,1,0,1,0,0,0,0,0,0,0,3,90.0,0,0.05,0.02,0.6,2.36
12444,478,José,Sá,Malheiro de Sá,José Malheiro de Sá,1,GK,WOL,2,5000000,320020,FUL (H),15,90,0,0,1,0,0,1,0,0,0,3,3,90.0,0,0.0,0.0,1.49,2.0
7330,281,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,1,GK,LIV,12,5400000,1515650,WHU (H),15,90,0,0,1,0,0,1,0,0,0,3,3,90.0,0,0.0,0.0,1.84,1.0
7893,303,Riyad,Mahrez,Mahrez,Riyad Mahrez,3,MID,MCI,23,7800000,2900338,AVL (H) / ARS (A),14,144,1,1,0,2,0,0,0,0,0,0,2,140.0,1,1.24,0.22,1.56,10.86
3038,116,Alexis,Mac Allister,Mac Allister,Alexis Mac Allister,3,MID,BHA,26,5400000,339129,WHU (H),14,90,1,1,1,0,0,0,0,0,0,0,3,90.0,1,1.2,0.33,0.38,9.99
3021,116,Alexis,Mac Allister,Mac Allister,Alexis Mac Allister,3,MID,BHA,6,5500000,165483,LEI (H),14,90,2,0,0,2,0,0,0,1,0,0,3,90.0,0,0.97,0.03,1.45,6.94
652,26,William,Saliba,Saliba,William Saliba,2,DEF,ARS,3,4500000,521329,BOU (A),14,90,1,0,1,0,0,0,0,0,0,0,2,90.0,1,0.1,0.0,0.28,6.6
5238,201,Tim,Ream,Ream,Tim Ream,2,DEF,FUL,17,4500000,21852,CRY (A),14,90,1,0,1,0,0,0,0,0,0,0,2,90.0,1,0.08,0.0,0.4,6.48
7824,301,Kevin,De Bruyne,De Bruyne,Kevin De Bruyne,3,MID,MCI,2,12000000,1463650,BOU (H),14,90,1,1,1,0,0,0,0,0,0,0,3,90.0,1,0.2,0.59,0.13,5.77
7624,293,Luis,Luis Díaz,Díaz,Luis Díaz,3,MID,LIV,4,8000000,2088008,BOU (H),14,90,2,0,1,0,0,0,0,0,0,0,1,90.0,1,0.37,0.11,0.33,5.18
6057,233,Jack,Harrison,Harrison,Jack Harrison,3,MID,LEE,3,6000000,126900,CHE (H),14,82,1,1,1,0,0,0,0,0,0,0,3,80.0,0,0.54,0.1,0.88,5.0
13960,535,Marcus,Tavernier,Tavernier,Marcus Tavernier,3,MID,BOU,16,4900000,38857,EVE (H),14,79,1,1,1,0,0,0,0,0,0,0,3,80.0,0,0.51,0.06,0.72,4.73
2310,88,Mathias,Jensen,Jensen,Mathias Jensen,3,MID,BRE,2,5000000,5451,MUN (H),14,73,1,1,1,0,0,0,0,0,0,0,3,70.0,0,0.31,0.35,0.74,4.6
13711,526,Ben,Mee,Mee,Ben Mee,2,DEF,BRE,2,4500000,27610,MUN (H),14,90,1,0,1,0,0,0,0,0,0,0,2,90.0,0,0.43,0.0,0.92,4.58
8682,335,Marcus,Rashford,Rashford,Marcus Rashford,3,MID,MUN,17,6700000,3082819,NFO (H),14,85,1,1,1,0,0,0,0,0,0,0,3,80.0,0,0.41,0.08,0.6,4.29
413,16,Gabriel,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,2,DEF,ARS,27,5200000,1552419,FUL (A),14,90,1,0,1,0,0,0,0,0,0,0,2,90.0,0,0.3,0.0,0.84,3.8
11449,440,Rodrigo,Bentancur,Bentancur,Rodrigo Bentancur,3,MID,TOT,16,5400000,51167,LEE (H),14,90,2,0,0,3,0,0,0,1,0,0,3,90.0,0,0.35,0.01,1.1,3.78
16971,680,Cody,Gakpo,Gakpo,Cody Gakpo,3,MID,LIV,26,7800000,450448,MUN (H),14,78,2,0,1,0,0,0,0,0,0,0,1,80.0,0,0.29,0.09,0.88,3.72
11155,429,Matt,Doherty,Doherty,Matt Doherty,2,DEF,TOT,19,4600000,56367,CRY (A),14,77,1,0,1,0,0,0,0,0,0,0,2,80.0,0,0.26,0.05,0.62,3.71
12108,465,Jarrod,Bowen,Bowen,Jarrod Bowen,3,MID,WHU,9,8100000,384826,WOL (H),14,90,1,1,1,0,0,0,0,0,0,0,3,90.0,0,0.31,0.03,0.74,3.64
7116,272,Wesley,W.Fofana,Fofana,Wesley Fofana,2,DEF,CHE,26,4300000,87719,LEE (H),14,90,1,0,1,0,0,0,0,1,0,0,3,90.0,0,0.25,0.02,0.94,3.56
1226,47,Jacob,Ramsey,Ramsey,Jacob Ramsey,3,MID,AVL,15,5200000,91786,MUN (H),14,90,1,2,0,1,1,0,0,0,0,0,3,90.0,0,0.18,0.03,0.52,2.99
42,2,Bernd,Leno,Leno,Bernd Leno,1,GK,FUL,19,4500000,521858,LEI (A) / CHE (H),14,180,0,0,1,1,0,0,0,2,0,15,3,180.0,0,0.0,0.0,3.82,2.0
12452,478,José,Sá,Malheiro de Sá,José Malheiro de Sá,1,GK,WOL,11,5000000,721289,NFO (H),14,90,0,0,1,0,0,1,0,0,0,2,3,90.0,0,0.0,0.0,1.49,2.0
7329,281,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,1,GK,LIV,11,5400000,1371336,MCI (H),14,90,0,1,1,0,0,0,0,0,0,6,3,90.0,0,0.0,0.0,0.98,2.0
10302,398,Dean,Henderson,Henderson,Dean Henderson,1,GK,NFO,2,4500000,466426,WHU (H),14,90,0,0,1,0,0,1,0,1,0,4,3,90.0,0,0.0,0.0,2.29,1.0
2863,109,Joël,Veltman,Veltman,Joël Veltman,2,DEF,BHA,26,4600000,279945,WHU (H),13,74,1,0,1,0,0,0,0,0,0,0,1,70.0,1,0.65,0.02,0.38,9.96
2125,80,Ivan,Toney,Toney,Ivan Toney,4,FWD,BRE,27,7800000,8925250,EVE (A) / SOU (A),13,180,1,1,1,1,0,0,0,1,0,0,3,180.0,0,1.35,0.16,1.54,9.88
8264,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,MCI,17,12200000,9219074,LEE (A),13,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,1.91,0.05,0.59,9.79
778,30,Danny,Ings,Ings,Danny Ings,4,FWD,WHU,25,6400000,151144,NFO (H),13,83,2,0,1,0,0,0,0,0,0,0,3,80.0,1,1.74,0.01,0.37,8.99
8250,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,MCI,1,11500000,3398599,WHU (A),13,77,2,0,1,0,0,0,0,0,0,0,3,80.0,1,1.66,0.08,0.49,8.88
277,11,Eddie,Nketiah,Nketiah,Eddie Nketiah,4,FWD,ARS,21,6600000,372033,MUN (H),13,90,2,0,0,2,0,0,0,0,0,0,3,90.0,1,1.68,0.01,0.33,8.75
255,10,Benjamin,White,White,Benjamin White,2,DEF,ARS,25,4700000,2725098,LEI (A) / EVE (H),13,180,0,0,2,0,0,0,0,0,0,0,1,180.0,1,0.0,0.18,1.38,8.54
15472,594,Alexander,Isak,Isak,Alexander Isak,4,FWD,NEW,28,6600000,265234,NFO (A),13,90,2,0,0,1,0,0,0,0,0,0,3,90.0,1,1.51,0.01,0.38,8.07
385,15,Aaron,Ramsdale,Ramsdale,Aaron Ramsdale,1,GK,ARS,25,4900000,2744828,LEI (A) / EVE (H),13,180,0,0,2,0,0,0,0,0,0,5,0,180.0,1,0.0,0.0,1.38,8.0
13539,519,Christian,Eriksen,Eriksen,Christian Eriksen,3,MID,MUN,16,6300000,302892,FUL (A),13,90,1,1,0,1,0,0,0,0,0,0,3,90.0,0,1.02,0.15,1.37,7.55
8172,314,Phil,Foden,Foden,Phil Foden,3,MID,MCI,25,8000000,973424,BOU (A),13,90,1,1,0,1,0,0,0,0,0,0,3,90.0,0,0.44,1.09,1.35,7.47
3230,124,Kaoru,Mitoma,Mitoma,Kaoru Mitoma,3,MID,BHA,26,5400000,1683132,WHU (H),13,82,1,1,1,0,0,0,0,0,0,0,2,80.0,1,0.83,0.08,0.38,7.39
8260,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,MCI,13,12200000,8983808,BHA (H),13,79,2,0,0,1,0,0,0,0,0,0,3,80.0,1,1.12,0.07,0.41,6.69
7944,305,Jack,Grealish,Grealish,Jack Grealish,3,MID,MCI,23,6800000,427104,AVL (H) / ARS (A),13,144,1,1,0,2,0,0,0,1,0,0,2,150.0,1,0.17,0.27,1.53,6.66
11109,427,Harry,Kane,Kane,Harry Kane,4,FWD,TOT,27,11700000,4211196,NFO (H),13,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,1.05,0.13,1.57,6.59
769,30,Danny,Ings,Ings,Danny Ings,4,FWD,WHU,16,6600000,138342,BHA (A),13,82,2,0,0,1,0,0,0,0,0,0,3,80.0,1,1.09,0.05,0.33,6.51
2115,80,Ivan,Toney,Toney,Ivan Toney,4,FWD,BRE,16,7400000,1658460,MCI (A),13,90,2,0,0,1,0,0,0,0,0,0,3,90.0,0,1.01,0.08,1.61,6.28
7443,285,Trent,Alexander-Arnold,Alexander-Arnold,Trent Alexander-Arnold,2,DEF,LIV,25,7300000,5316112,CRY (A) / WOL (H),13,159,0,0,2,0,0,0,0,0,0,0,1,160.0,0,0.18,0.31,1.52,6.01
5457,210,Aleksandar,Mitrović,Mitrović,Aleksandar Mitrović,4,FWD,FUL,1,6500000,509091,LIV (H),13,90,2,0,0,2,0,0,0,0,0,0,3,90.0,0,0.95,0.01,1.23,5.83
7736,297,Darwin,Darwin,Núñez Ribeiro,Darwin Núñez Ribeiro,4,FWD,LIV,16,9000000,1115008,SOU (H),13,86,2,0,0,1,0,0,0,0,0,0,3,90.0,0,0.71,0.27,1.05,5.65
12861,493,Morgan,Gibbs-White,Gibbs-White,Morgan Gibbs-White,3,MID,NFO,15,5500000,27945,BRE (H),13,90,1,1,0,2,0,0,0,0,0,0,3,90.0,0,0.51,0.28,1.46,5.39
11597,446,Dejan,Kulusevski,Kulusevski,Dejan Kulusevski,3,MID,TOT,1,8000000,470486,SOU (H),13,85,1,1,0,1,0,0,0,0,0,0,3,80.0,1,0.1,0.63,0.37,5.39
9503,368,Allan,Saint-Maximin,Saint-Maximin,Allan Saint-Maximin,3,MID,NEW,3,6400000,550959,MCI (H),13,90,0,3,0,3,0,0,0,0,0,0,2,90.0,0,0.23,0.68,2.11,5.19
5849,225,Rodrigo,Rodrigo,Moreno,Rodrigo Moreno,3,MID,LEE,3,6200000,1174241,CHE (H),13,82,1,1,1,0,0,0,0,0,0,0,2,80.0,0,0.57,0.0,0.88,4.85
6249,240,Crysencio,Summerville,Summerville,Crysencio Summerville,3,MID,LEE,15,4400000,38618,BOU (H),13,90,1,1,0,3,0,0,0,0,0,0,3,90.0,0,0.51,0.07,1.47,4.76
10217,394,Brennan,Johnson,Johnson,Brennan Johnson,4,FWD,NFO,26,5700000,247756,EVE (H),13,90,2,0,0,2,0,0,0,0,0,0,3,90.0,0,0.65,0.04,1.7,4.72
170,7,Martin,Ødegaard,Ødegaard,Martin Ødegaard,3,MID,ARS,18,6500000,2070142,BHA (A),13,86,1,1,0,2,0,0,0,0,0,0,3,90.0,0,0.06,0.77,1.0,4.61
1170,45,Leon,Bailey,Bailey,Leon Bailey,3,MID,AVL,13,4600000,473469,BRE (H),13,70,1,1,1,0,0,0,0,0,0,0,2,70.0,0,0.23,0.47,0.82,4.56
4819,185,Abdoulaye,A.Doucouré,Doucouré,Abdoulaye Doucouré,3,MID,EVE,28,5300000,9079,CHE (A),13,90,1,1,0,2,0,0,0,0,0,0,3,90.0,0,0.5,0.01,2.37,4.53
8076,311,Bernardo,Bernardo,Veiga de Carvalho e Silva,Bernardo Veiga de Carvalho e Silva,3,MID,MCI,3,6800000,413839,NEW (A),13,90,1,1,0,3,0,0,0,0,0,0,3,90.0,0,0.28,0.26,1.81,4.18
2807,107,Solly,March,March,Solly March,3,MID,BHA,17,5000000,48116,SOU (A),13,82,1,1,0,1,0,0,0,0,0,0,3,80.0,0,0.03,0.57,1.91,3.86
1629,62,Kieffer,Moore,Moore,Kieffer Moore,4,FWD,BOU,14,5400000,60395,TOT (H),13,90,2,0,0,3,0,0,0,0,0,0,3,90.0,0,0.45,0.0,2.09,3.8
5860,225,Rodrigo,Rodrigo,Moreno,Rodrigo Moreno,3,MID,LEE,16,6300000,699738,TOT (A),13,88,2,0,0,4,0,0,0,0,0,0,1,90.0,0,0.34,0.02,1.8,3.76
13730,526,Ben,Mee,Mee,Ben Mee,2,DEF,BRE,22,4800000,1202090,SOU (H),13,90,1,0,1,0,0,0,0,0,0,0,1,90.0,0,0.28,0.01,0.63,3.71
2659,101,Adam,Lallana,Lallana,Adam Lallana,3,MID,BHA,15,4900000,10057,WOL (A),13,64,1,1,0,2,0,0,0,0,0,0,3,60.0,0,0.25,0.38,1.03,3.39
9594,371,Joelinton Cássio,Joelinton,Apolinário de Lira,Joelinton Cássio Apolinário de Lira,3,MID,NEW,17,5900000,55423,LEI (A),13,90,1,1,1,0,0,0,0,0,0,0,2,90.0,0,0.11,0.02,0.52,2.61
8685,335,Marcus,Rashford,Rashford,Marcus Rashford,3,MID,MUN,20,7000000,9507494,MCI (H) / CRY (A),12,180,1,0,0,2,0,0,0,0,0,0,3,180.0,0,1.89,0.11,1.2,13.78
7818,300,Ilkay,Gündogan,Gündogan,Ilkay Gündogan,3,MID,MCI,23,7300000,440042,AVL (H) / ARS (A),12,180,1,1,0,2,0,0,0,0,0,0,0,180.0,1,1.5,0.29,1.9,13.37
8639,333,Bruno,Fernandes,Borges Fernandes,Bruno Borges Fernandes,3,MID,MUN,22,9900000,3254850,CRY (H) / LEE (H),12,180,1,0,0,3,0,0,0,0,0,0,3,180.0,0,1.21,0.37,1.98,11.16
8195,315,Rodrigo,Rodri,Hernandez,Rodrigo Hernandez,3,MID,MCI,23,5600000,379334,AVL (H) / ARS (A),12,180,1,0,0,2,0,0,0,0,0,0,3,180.0,1,0.5,0.34,1.9,8.52
672,26,William,Saliba,Saliba,William Saliba,2,DEF,ARS,25,5300000,7537182,LEI (A) / EVE (H),12,180,0,0,2,0,0,0,0,0,0,0,0,180.0,1,0.0,0.03,1.38,8.09
2914,111,Leandro,Trossard,Trossard,Leandro Trossard,3,MID,ARS,25,6600000,1698836,LEI (A) / EVE (H),12,140,0,2,2,0,0,0,0,0,0,0,0,140.0,1,0.35,0.29,0.74,7.62
4138,160,Wilfried,Zaha,Zaha,Wilfried Zaha,3,MID,CRY,3,7000000,790925,AVL (H),12,81,2,0,0,1,0,0,1,1,0,0,3,80.0,0,1.03,0.11,0.68,7.48
7299,280,Virgil,Van Dijk,van Dijk,Virgil van Dijk,2,DEF,LIV,4,6500000,1282506,BOU (H),12,90,1,0,1,0,0,0,0,0,0,0,0,90.0,1,0.18,0.09,0.33,7.35
766,30,Danny,Ings,Ings,Danny Ings,4,FWD,WHU,13,6600000,99612,BRE (H),12,90,2,0,1,0,0,0,0,1,0,0,3,90.0,0,1.22,0.13,0.95,7.27
3231,124,Kaoru,Mitoma,Mitoma,Kaoru Mitoma,3,MID,BHA,27,5500000,5140606,LEE (A) / CRY (H),12,168,0,2,1,2,0,0,0,0,0,0,1,170.0,0,0.16,0.68,2.67,6.84
11188,430,Eric,Dier,Dier,Eric Dier,2,DEF,TOT,25,5100000,654319,CHE (H),12,90,0,1,1,0,0,0,0,0,0,0,3,90.0,1,0.11,0.0,0.41,6.66
7385,283,Mohamed,Salah,Salah,Mohamed Salah,3,MID,LIV,17,12800000,3599066,AVL (A),12,90,1,1,0,1,0,0,0,0,0,0,2,90.0,0,0.9,0.04,1.3,6.62
10211,394,Brennan,Johnson,Johnson,Brennan Johnson,4,FWD,NFO,20,5600000,91381,LEI (H),12,85,2,0,1,0,0,0,0,1,0,0,3,80.0,0,1.12,0.0,1.02,6.48
